,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
2493,2020003245,5837 McGee St,Brookside Park,H,64113.0,Metro,4.0,EMAIL,4068,Property / Buildings / Construction,7280,0,4266,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,1/8/2020,1:20 PM,1,2020,RESOL,N,1/8/2020,1.0,2020.0,0.0,"5837 McGee St64113
(39.020777, -94.584264)",Jackson,39.020777,-94.584264,144394,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003245
2494,2020002936,5402 N Denver Ave,Ravenwood-Somerset,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,27,409,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/8/2020,2:08 AM,1,2020,RESOL,N,2/4/2020,2.0,2020.0,27.0,"5402 N Denver Ave64119
(39.191708, -94.519459)",Clay,39.191708,-94.519459,80500,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002936
2495,2020002935,5337 N Brighton Ave,Ravenwood-Somerset,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,27,409,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/8/2020,2:07 AM,1,2020,RESOL,N,2/4/2020,2.0,2020.0,27.0,"5337 N Brighton Ave64119
(39.19097, -94.520486)",Clay,39.19097,-94.520486,80586,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002935
2496,2020002941,4600 NE Vivion Rd,Foxwoods-Carriage Hills,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,27,409,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/8/2020,2:23 AM,1,2020,RESOL,N,2/4/2020,2.0,2020.0,27.0,"4600 NE Vivion Rd64119
(39.188459, -94.525455)",Clay,39.188459,-94.525455,80908,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002941
2497,2020003128,8215 NW Mace Rd,Park Forest,H,64152.0,North,2.0,PHONE,30436,Property / Buildings / Construction,7280,57,89,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,1/8/2020,11:08 AM,1,2020,RESOL,Y,3/5/2020,3.0,2020.0,57.0,"8215 NW Mace Rd64152
(39.244558, -94.682055)",Platte,39.24455800000001,-94.682055,168411,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003128
2498,2020002979,5837 McGee St,Brookside Park,H,64113.0,Metro,4.0,EMAIL,4068,Property / Buildings / Construction,7280,6,2053,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,1/8/2020,7:46 AM,1,2020,RESOL,N,1/14/2020,1.0,2020.0,6.0,"5837 McGee St64113
(39.020777, -94.584264)",Jackson,39.020777,-94.584264,144394,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002979
2499,2020002940,4900 NE 53rd Ter,Foxwoods-Carriage Hills,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,29,280,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/8/2020,2:12 AM,1,2020,RESOL,N,2/6/2020,2.0,2020.0,29.0,"4900 NE 53rd Ter64119
(39.190916, -94.522028)",Clay,39.190916,-94.522028,80864,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002940
2500,2020002939,5330 N Lister Ave,Foxwoods-Carriage Hills,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,0,4266,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/8/2020,2:10 AM,1,2020,RESOL,N,1/8/2020,1.0,2020.0,0.0,"5330 N Lister Ave64119
(39.190899, -94.524679)",Clay,39.190899,-94.524679,80885,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002939
2501,2020002937,5344 N Denver Ave,Ravenwood-Somerset,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,27,409,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/8/2020,2:08 AM,1,2020,RESOL,N,2/4/2020,2.0,2020.0,27.0,"5344 N Denver Ave64119
(39.191347, -94.519473)",Clay,39.191347,-94.519473,80589,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002937
2502,2019198206,5221 Ward Pkwy,Sunset Hill,H,64112.0,Metro,4.0,PHONE,30436,Property / Buildings / Construction,7280,8,1466,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,12/2/2019,9:08 AM,12,2019,RESOL,Y,12/10/2019,12.0,2019.0,8.0,"5221 Ward Pkwy64112
(39.033158, -94.602794)",Jackson,39.033158,-94.602794,142807,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019198206
2503,2019181710,9051 NE 81st Ter,Shoal Creek,H,64158.0,Shoal Creek,1.0,PHONE,30436,Property / Buildings / Construction,7280,56,124,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,10/18/2019,9:32 AM,10,2019,RESOL,Y,12/13/2019,12.0,2019.0,56.0,"9051 NE 81st Ter64158
(39.239874, -94.46562)",Clay,39.239874,-94.46562,231363,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019181710
2504,2019181819,5726 Charlotte St,Western 49-63,H,64110.0,Metro,4.0,WEB,13543,Property / Buildings / Construction,7280,144,10,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,10/19/2019,6:46 PM,10,2019,RESOL,Y,3/11/2020,3.0,2020.0,144.0,"5726 Charlotte St64110
(39.022729, -94.577886)",Jackson,39.022729,-94.577886,145203,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019181819
2505,2019181811,4000 NE 100th St,Shoal Creek,H,64155.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,230,4,Land Use / Zoning Issue,Property / Buildings / Construction Land Use / Zoning Issue,PROPERTY,NOT_VISIBLE,City Planning and Development,City Planning and Development-Dev Comp-Zoning,Prop/Build/Construct-Land Use / Zoning Issue-Business in a residence,Business In A Residence,10/19/2019,10:10 AM,10,2019,RESOL,Y,6/5/2020,6.0,2020.0,230.0,"4000 NE 100th St64155
(39.276517, -94.531399)",Clay,39.276517,-94.531399,261321,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019181811
