,NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population,Animals / Pets,City Facilities,Lights / Signals,Mowing / Weeds,Trash / Recycling
49,62,Palestine East,252,213,279,21971,34900,6,10,464,0,24,92,118,211,38,41,28,985,25.55555556,,2.25,113.2,10.65217391
50,129,Marlborough Heights/Marlborough Pride,250,130,300,33709,61874,56,191,579,0,4,103,185,300,35,41,32,3457,12.18666667,,2.631578947,127.1,20.7755102
51,118,North Town Fork Creek,250,246,239,26493,62057,62,14,595,3,29,103,180,350,29,40,29,3166,7.356321839,,6.222222222,87.96428571,27.59313725
52,46,Leeds,248,311,170,24107,9999,18,376,143,9,174,74,168,402,5,35,23,642,9.75,,1,58.25,33.63636364
53,162,Fairlane,242,338,132,51085,85800,173,288,836,5,143,86,240,525,19,31,25,4924,13.49090909,,5.238095238,84.5,19.28174603
54,206,Maple Park West,242,274,194,60028,104750,173,811,38,50,77,17,71,345,19,13,19,2013,8,,5.75862069,33.14102564,15.78409091
55,234,Meadowbrook Heights,242,252,212,78995,162400,450,1513,126,26,91,0,128,682,18,6,32,3911,2.090909091,,4.111111111,109,19.53488372
56,53,Ivanhoe Southwest,241,521,191,35891,58000,59,21,795,0,17,222,212,360,46,47,45,1502,6.258064516,,3.6,141.25,13.36538462
57,30,East Community Team South,240,504,192,29226,38200,24,99,364,0,263,135,148,282,38,39,31,3965,15.81481481,17,2.277777778,70.25,20.51769912
58,54,Ivanhoe Southeast,240,540,192,30139,37850,41,29,999,0,7,250,257,442,39,45,37,1165,11.25925926,,18.72727273,152.84,16.9389313
59,123,Swope Park Campus,240,330,115,40045,70200,102,38,497,0,4,69,122,252,33,40,32,1251,3.909090909,,18.16666667,,19.28846154
60,55,Ivanhoe Northeast,239,503,192,37689,47000,38,16,603,0,82,185,128,338,43,46,39,792,9.333333333,,3.285714286,101.5454545,25.21818182
61,18,Scarritt Point,237,254,208,33543,67285,73,228,119,41,284,81,138,288,65,36,43,5115,4.890243902,,4.166666667,123.0909091,23.28571429
62,128,East Meyer 6,234,588,170,42097,73700,125,125,998,0,35,92,245,500,14,25,20,853,8.614285714,,2.142857143,133.5714286,36.03571429
63,178,Little Blue,234,191,264,87522,210250,570,1419,379,14,82,27,192,753,8,8,18,3741,9.704545455,,3.038461538,75.68421053,16.04907975
64,81,Old Westport,234,120,324,55929,177200,679,982,47,0,37,57,695,770,92,47,70,1191,2.5,,31.89285714,,39.58823529
65,122,Blenheim Square Research Hospital,227,481,181,36625,54250,46,183,902,3,13,186,283,444,48,42,40,1354,14.5483871,,8,90.96,70.14925373
66,52,Linwood Homeowners-Ivanhoe,225,242,200,32541,51933,56,83,475,0,45,126,153,288,41,49,39,1496,20.92592593,,2,234.6666667,32.21666667
67,135,Park Farms,225,221,287,47097,99633,210,668,609,18,155,64,296,672,12,23,18,3022,2.813953488,,5.1,77.5,7.739130435
